;cityscapes_average_c=_v=0_d=0.5_a=-1;cityscapes_average_c=_v=0_d=0.5_a=0;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.4;cityscapes_weighted_average_c=_v=0_d=0.5_a2=0.5;coco_average_c=_v=0_d=0.5_a=-1;coco_average_c=_v=0_d=0.5_a=0;coco_weighted_average_c=_v=0_d=0.5_a2=0.4;coco_weighted_average_c=_v=0_d=0.5_a2=0.5
1-0-0-0-0;nan;nan;nan;nan;0.27057;0.27057;0.27057;0.27057
0-1-0-0-0;nan;nan;nan;nan;0.29077;0.29077;0.29077;0.29077
0-0-1-0-0;nan;nan;nan;nan;0.28022;0.28022;0.28022;0.28022
0-0-0-1-0;nan;nan;nan;nan;0.28656;0.28656;0.28656;0.28656
0-0-0-0-1;nan;nan;nan;nan;0.29213;0.29213;0.29213;0.29213
1-2-0-0-0;nan;nan;nan;nan;0.27240;0.27240;0.27240;0.27240
1-0-2-0-0;nan;nan;nan;nan;0.26618;0.26618;0.26618;0.26618
1-0-0-2-0;nan;nan;nan;nan;0.26377;0.26377;0.26377;0.26377
1-0-0-0-2;nan;nan;nan;nan;0.27151;0.27151;0.27151;0.27151
0-1-2-0-0;nan;nan;nan;nan;0.27055;0.27055;0.27055;0.27055
0-1-0-2-0;nan;nan;nan;nan;0.27527;0.27527;0.27527;0.27527
0-1-0-0-2;nan;nan;nan;nan;0.27691;0.27691;0.27691;0.27691
0-0-1-2-0;nan;nan;nan;nan;0.26651;0.26651;0.26651;0.26651
0-0-1-0-2;nan;nan;nan;nan;0.26864;0.26864;0.26864;0.26864
0-0-0-1-2;nan;nan;nan;nan;0.27413;0.27413;0.27413;0.27413
1-2-3-0-0;nan;nan;nan;nan;0.26521;0.28031;0.28031;0.28031
1-2-0-3-0;nan;nan;nan;nan;0.26155;0.27973;0.27973;0.27973
1-2-0-0-3;nan;nan;nan;nan;0.26517;0.27933;0.27933;0.27933
1-0-2-3-0;nan;nan;nan;nan;0.25635;0.27388;0.27388;0.27388
1-0-2-0-3;nan;nan;nan;nan;0.26028;0.27563;0.27563;0.27563
1-0-0-2-3;nan;nan;nan;nan;0.25753;0.27555;0.27555;0.27555
0-1-2-3-0;nan;nan;nan;nan;0.26260;0.27969;0.27969;0.27969
0-1-2-0-3;nan;nan;nan;nan;0.26615;0.28171;0.28171;0.28171
0-1-0-2-3;nan;nan;nan;nan;0.26635;0.28237;0.28237;0.28237
0-0-1-2-3;nan;nan;nan;nan;0.26043;0.28076;0.28076;0.28076
1-2-3-4-0;nan;nan;nan;nan;0.25412;0.27054;0.27054;0.27054
1-2-3-0-4;nan;nan;nan;nan;0.25670;0.27333;0.27333;0.27333
1-2-0-3-4;nan;nan;nan;nan;0.25607;0.27534;0.27534;0.27534
1-0-2-3-4;nan;nan;nan;nan;0.25166;0.27184;0.27184;0.27184
0-1-2-3-4;nan;nan;nan;nan;0.25708;0.27472;0.27472;0.27472
1-2-3-4-5;nan;nan;nan;nan;0.26380;0.28048;0.27499;0.28048
